Problem,D_Num,MaOEACE vs NSGAIII,NSGAIII vs MaOEACE,MaOEACE vs MaOEACSS,MaOEACSS vs MaOEACE,MaOEACE vs NSGAIISDR,NSGAIISDR vs MaOEACE,MaOEACE vs SRA,SRA vs MaOEACE,
SWV05,200,0.718254,0.130952,0.659524,0.189683,0.644444,0.134921,0.795238,0.040476,
SWV05,200,leftGG0.410775rightGG,leftGG0.278282rightGG,leftGG0.400640rightGG,leftGG0.337361rightGG,leftGG0.357175rightGG,leftGG0.278977rightGG,leftGG0.358301rightGG,leftGG0.081900rightGG,
SWV06,300,0.819048,0.121429,0.765873,0.146825,0.745238,0.349206,0.817460,0.062698,
SWV06,300,leftGG0.352720rightGG,leftGG0.295896rightGG,leftGG0.337731rightGG,leftGG0.295879rightGG,leftGG0.354638rightGG,leftGG0.440187rightGG,leLA40,225,616rightGG,leftGG0.128731rightGG,
SWV07,300,0.897619,0.351587,0.711905,0.442857,0.882540,0.161905,0.795238,0.195238,
SWV07,300,leftGG0.283533rightGG,leftGG0.343625rightGG,leftGG0.380705rightGG,leftGG0.466931rightGG,leftGG0.238830rightGG,leftGG0.271545rightGG,leftGG0.397868rightGG,leftGG0.328713rightGG,
SWV08,300,0.814286,0.150794,0.738095,0.538889,0.626984,0.473810,0.878571,0.119048,
SWV08,300,leftGG0.340090rightGG,leftGG0.298480rightGG,leftGG0.316586rightGG,leftGG0.461854rightGG,leftGG0.376562rightGG,leftGG0.470857rightGG,leftGG0.299745rightGG,leftGG0.261255rightGG,
SWV09,300,0.736508,0.117460,0.701587,0.319841,0.851587,0.206349,0.987302,0.152381,
SWV09,300,leftGG0.386465rightGG,leftGG0.232441rightGG,leftGG0.275460rightGG,leftGG0.381482rightGG,leftGG0.126838rightGG,leftGG0.339734rightGG,leftGG0.035529rightGG,leftGG0.319474rightGG,
SWV10,300,0.816667,0.277778,0.579365,0.698413,0.832540,0.472222,0.884127,0.195238,
SWV10,300,leftGG0.318222rightGG,leftGG0.386892rightGG,leftGG0.359498rightGG,leftGG0.457242rightGG,leftGG0.183210rightGG,leftGG0.444830rightGG,leftGG0.298484rightGG,leftGG0.305245rightGG,
SWV11,500,0.855556,0.309524,0.671429,0.630159,0.669048,0.342857,0.704762,0.191270,
SWV11,500,leftGG0.298771rightGG,leftGG0.403936rightGG,leftGG0.326637rightGG,leftGG0.406225rightGG,leftGG0.402296rightGG,leftGG0.436433rightGG,leftGG0.446224rightGG,leftGG0.293896rightGG,
